name,category,type,city,street
"""Comfort Women"" Column of Strength",tourism,artwork,,
"""Crab Topiary"" Crab Statue",tourism,artwork,,
"#1901 Union Street",leisure,outdoor_seating,,
$10 Hoodie Store,shop,gift,San Francisco,Mason Street
'N Motion Fitness,leisure,fitness_centre,,
(de)Appropriation Project Parklet,leisure,parklet,,
1,highway,footway,,
1,highway,steps,,
1 Bayside Village,building,apartments,,Bayside Village Place
1 Hotel San Francisco,tourism,hotel,San Francisco,Mission Street
10,highway,footway,,
10,highway,steps,,
100 First Street,building,office,San Francisco,1st Street
100 Hooper,landuse,commercial,,
100 Hooper,landuse,commercial,,
100 Hooper Street,highway,bus_stop,,
100 Hooper Street,other,yes,,
100 Montgomery,building,yes,,
100 O'Shaughnessy Boulevard,highway,bus_stop,,
100 O'Shaughnessy Boulevard,other,yes,,
100 Pine Center,building,yes,,Pine Street
1001 Castro Street,shop,convenience,San Francisco,Castro Street
101 California,building,office,San Francisco,California Street
101 Dakota Street,highway,bus_stop,,
101 Dakota Street,other,yes,,
101 Montgomery,building,yes,,Montgomery Street
101 Montgomery,building,yes,,Montgomery Street
101 Music,shop,music,San Francisco,Grant Avenue
1010 Wash & Dry,shop,laundry,,Clement Street
1011 Sip Tea,amenity,cafe,San Francisco,Irving Street
1015 Folsom,amenity,bar,San Francisco,Folsom Street
1073 Howard,building,yes,San Francisco,Howard Street
1076 Rhode Island Street,highway,bus_stop,,
1076 Rhode Island Street,other,yes,,
10th Ave & Clement Children’s Play Area,leisure,playground,,
10th Ave/Music Concourse,highway,bus_stop,,
10th Ave/Music Concourse,highway,stop,,
10th Avenue,highway,service,,
10th Avenue & Ortega Street,highway,bus_stop,,
10th Avenue & Ortega Street,other,yes,,
10th Avenue & Pacheco Street,highway,bus_stop,,
10th Avenue & Pacheco Street,other,yes,,
10th Avenue & Quintara Street,highway,bus_stop,,
10th Avenue & Quintara Street,other,yes,,
10th Planet Jiu Jitsu - San Francisco,leisure,sports_centre,San Francisco,South Van Ness Avenue
10th Street & Bryant Street,highway,bus_stop,,
10th Street & Bryant Street,other,yes,,
10th Street & Howard Street,highway,bus_stop,,
10th Street & Howard Street,other,yes,,
10th Street Car Wash,amenity,car_wash,,Harrison Street
11,highway,footway,,
11,highway,steps,,
110,building,yes,,
1100 Lake Merced Boulevard,highway,bus_stop,,
1100 Lake Merced Boulevard,other,yes,,
1101 Connecticut,building,apartments,San Francisco,Connecticut Street
111,building,yes,,
111 Minna,tourism,gallery,,Minna Street
111 Minna Gallery,amenity,bar,,Minna Street
111 Taylor St. Apartments,building,yes,,Taylor Street
1111 8th Street,highway,bus_stop,,
1111 8th Street,other,yes,,
1111 Eighth Street Building,building,university,,8th Street
1111 Grant,shop,clothes,,
1113 Keppler Court,building,residential,,Keppler Court
115 Sansome Street,building,yes,,
115 Telegraph Hill Boulevard,highway,bus_stop,,
115 Telegraph Hill Boulevard,other,yes,,
117 Warren Drive,highway,bus_stop,,
117 Warren Drive,other,yes,,
1174‐1178 Folsom Street,building,apartments,,
11th Street,highway,cycleway,,
11th Street & Bryant Street,highway,bus_stop,,
11th Street & Bryant Street,other,yes,,
11th Street & Harrison Street,highway,bus_stop,,
11th Street & Harrison Street,highway,platform,,
11th Street & Harrison Street,other,yes,,
11th Street & Harrison Street,other,yes,,
11th Street & Howard Street,highway,bus_stop,,
11th Street & Howard Street,other,yes,,
11th Street & Howard Street,other,yes,,
11th Street & Market Street,highway,bus_stop,,
11th Street & Market Street,other,yes,,
11th Street & Market Street,other,yes,,
11th Street & Mission Street,highway,bus_stop,,
11th Street & Mission Street,other,yes,,
11th Street Auto Repair,shop,car_repair,,11th Street
11th Street Dojo,amenity,dojo,,
12,highway,footway,,
12,highway,steps,,
12 Small Things,shop,gift,,Cortland Avenue
120 Portola Drive,highway,bus_stop,,
120 Portola Drive,other,yes,,
1200 4th Street,highway,bus_stop,,
1200 4th Street,other,yes,,
1220 Ellis St.,building,yes,,
123 Mission Plaza,leisure,garden,,
123 Wash & Dry,shop,laundry,San Francisco,Taraval Street
123 Wash and Dry (closed),other,yes,,Hyde Street
1250 Ellis St.,building,yes,,
126 Miraloma Drive,highway,bus_stop,,
126 Miraloma Drive,other,yes,,
1280 Ellis St.,building,yes,,Ellis Street
1288 Howard,landuse,residential,,
13,highway,footway,,
13,highway,steps,,
13 Bats Tattoo and Piercing,shop,tattoo,,Valencia Street
1315 18th Street Parklet,leisure,parklet,,
1320,building,yes,San Francisco,Lombard Street
1340,building,yes,San Francisco,Lombard Street
1360,building,apartments,San Francisco,Lombard Street
14,building,apartments,,
14,highway,footway,,
14,highway,steps,,
14 Dakota Street,highway,bus_stop,,
14 Dakota Street,other,yes,,
140 New Montgomery,building,commercial,San Francisco,New Montgomery Street
140 Proof,office,research,San Francisco,De Boom Street
140 South Van Ness,building,residential,,
1400 Mission,building,residential,San Francisco,Mission Street
1428 Haight,amenity,restaurant,San Francisco,Haight Street
145 TL Residences,building,apartments,,Leavenworth Street
1455 Market St.,building,office,San Francisco,Market Street
1455 Market St.,building,office,San Francisco,Market Street
146 Alta Vista Way,highway,bus_stop,,
146 Alta Vista Way,other,yes,,
14th Avenue & Quintara Street,highway,bus_stop,,
14th Avenue & Quintara Street,highway,turning_circle,,
14th Avenue & Santiago Street,highway,bus_stop,,
14th Avenue & Santiago Street,other,yes,,
14th Avenue & Taraval Street,highway,bus_stop,,
14th Avenue & Taraval Street,other,yes,,
14th Avenue & Ulloa Street,highway,bus_stop,,
14th Avenue & Ulloa Street,other,yes,,
14th Street & Alpine Terrace,highway,bus_stop,,
14th Street & Alpine Terrace,other,yes,,
14th Street & Castro Street,highway,bus_stop,,
14th Street & Castro Street,other,yes,,
14th Street & Church Street,highway,bus_stop,,
14th Street & Church Street,other,yes,,
14th Street & Noe Street,highway,bus_stop,,
14th Street & Noe Street,other,yes,,
14th Street & Noe Street,other,yes,,
14th Street & Sanchez Street,highway,bus_stop,,
14th Street & Sanchez Street,other,yes,,
15,building,apartments,,
15,highway,footway,,
15 Romolo,amenity,pub,,Romolo Place
150 Otis Street,highway,bus_stop,,
150 Otis Street,other,yes,,
150 Years of Service on the Oldest Railroad in the West With Continuous Passenger Service,other,yes,,
1500 Mission,building,apartments,,
15th Ave & Ulloa,other,yes,,
15th Ave & Ulloa,other,yes,,
15th Avenue,highway,steps,,
15th Avenue & Noriega Street,highway,bus_stop,,
15th Avenue & Noriega Street,other,yes,,
15th Avenue & Ortega Street,highway,bus_stop,,
15th Avenue & Ortega Street,other,yes,,
15th Avenue & Pacheco Street,highway,bus_stop,,
15th Avenue & Pacheco Street,other,yes,,
15th Avenue & Quintara Street,highway,bus_stop,,
15th Avenue & Quintara Street,other,yes,,
15th Avenue & Taraval Street,highway,bus_stop,,
15th Avenue & Taraval Street,other,yes,,
15th Avenue & West Portal Avenue,highway,bus_stop,,
15th Avenue & West Portal Avenue,other,yes,,
15th Avenue Steps,leisure,park,,
16,building,apartments,,Font Boulevard
16,highway,footway,,
16,highway,steps,,
160 Brannan,building,apartments,,Brannan Street
1601 Bar And Kitchen,amenity,restaurant,,
1635 Divisadero Garage,amenity,parking,,Sutter Street
1635 Divisadero Garage,amenity,parking,,Sutter Street
